"EventTime","HostName","UserName","FileName","CreatorFileName","FileHash","VTScore","VTDetails"
"2018-11-01 14:14:08","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Updater.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","000352005D608C4A7CC9BA1952439FC1","0/66","https://www.virustotal.com/file/b6593e0a5238b46c3e66c2462f14d61ddcb29f29d404f021dea45224c2a0ac32/analysis/1541025841/"
"2018-11-01 14:13:59","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\SaveAsRTF.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","F0749B62327F1C221D2EB3A3E4256ECD","0/66","https://www.virustotal.com/file/25ecf42089205b65e6ca906bff610ceef7d359ec8f139b7c943711023ab47b81/analysis/1540866976/"
"2018-11-01 14:13:52","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\PPKLite.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","9CBA18151C21706A27184CAE5E55ADA6","0/66","https://www.virustotal.com/file/32308ed5f818ae78acf9c96666c834f04540bd832c2e00b11d358c9afad5f1e8/analysis/1541714331/"
"2018-11-01 14:13:51","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\DigSig.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","78E57F4A4D644BBEA60C62883D187A70","0/67","https://www.virustotal.com/file/97fb3388d038c31bb19ace84a3203dfd0c044480e317ef6a82c9982277ba8a00/analysis/1540791413/"
"2018-11-01 14:13:51","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\AcroForm.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","29C551D28A57616C034C8BCF44178C22","0/66","https://www.virustotal.com/file/64cea89e9bfd82c5609a6b602f4e3ac9a6038653e2aec764d03efb6361fac8fa/analysis/1541564198/"
"2018-11-01 14:13:38","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\IA32.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","C4E13D1A7E195D8AC73C73158264B81E","0/67","https://www.virustotal.com/file/36bb99a2935fcb8323de9736d59189a28d811924c16ed236cb32616923b44c6e/analysis/1540866680/"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\EScript.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","E47D150BD076BC1B3BE69F85A7993A98","0/66","https://www.virustotal.com/file/640a88d3d29467e17256323e0652fade7e5a30548e71f9d8041feae907b4aabf/analysis/1541025857/"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\weblink.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","1375E0FF68ED9DC03B02506191827617","0/66","https://www.virustotal.com/file/23ddf17fc42ad4e452ba43abb2822c2ba5f6550e0a5a4d3b47e6d0eacab1c1e7/analysis/1540840618/"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Annots.api","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","30223C71281A119E1CF8E56F9A077106","0/66","https://www.virustotal.com/file/6884a2f1e3d82e2efaec48d0bc3ac42669a9f780f61c0beeee11e9a69068455b/analysis/1541714330/"
"2018-11-01 14:13:08","SFS01","DC1\ianj","D:\CryptoTool\CryptoTool.exe","C:\Windows\explorer.exe","0B0ED1242D8F12AAA40FA9F93E753463","NotFound","N/A"
"2018-11-01 14:10:35","INTWEB01","DC1\ianj","C:\Program Files\7-Zip\7zG.exe","C:\Windows\explorer.exe","6029519FF0CBAEAC5C0C218AE21C47DD","0/67","https://www.virustotal.com/file/21de06307b89cc5700c1890bd705dee3e2a5279302bea0c04017750503666119/analysis/1541704498/"
"2018-11-01 13:23:20","INTWEB01","DC1\ianj","C:\Windows\SysWOW64\jscript9.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","13E1B2B1C0BE4F8BA53178C240BEE09A","0/66","https://www.virustotal.com/file/acfc23b3216f49a176353c8223257f66cad0294348ed08b932d1d61f7cc93640/analysis/1541537319/"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Windows\SysWOW64\ieui.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","94BFF02FCFDC65EC20315F890EA8953E","0/66","https://www.virustotal.com/file/7ac05fe80444d37dea369626f80d7a11816a60de1b16ad435a333e8036df4ce8/analysis/1541682515/"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Windows\SysWOW64\mshtml.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","547AFEEB076E77779E4DCD604E8F0402","0/65","https://www.virustotal.com/file/b1a42d40e580ead602db170e954e9ddcd586a74c51b3cf32f2d3dd5bd7218234/analysis/1541380153/"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Windows\SysWOW64\ieframe.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","F516C1F52E73B9A94F5960E1E26302D2","0/65","https://www.virustotal.com/file/8d1890757c142277760e1f10f8cceef7332958defd04915060303290ca2afc07/analysis/1541789288/"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Program Files (x86)\Internet Explorer\ieproxy.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","79DEFEB5B312107AF9355031DEA7565B","0/66","https://www.virustotal.com/file/1b0ffc58ac40ae35653f2e670c11587b816203d1aa5b09af4bf729dbd86857b1/analysis/1541488266/"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Program Files (x86)\Internet Explorer\IEShims.dll","C:\Program Files (x86)\Internet Explorer\iexplore.exe","4A1327D928CEB7BC66F72F30AA020C61","0/66","https://www.virustotal.com/file/d9da82df94bca7d1cbcc33e04fb9fe34149f329d8e66d90f73782e605df47363/analysis/1541682014/"
"2018-11-01 13:23:18","INTWEB01","DC1\ianj","C:\Windows\System32\ieui.dll","C:\Program Files\Internet Explorer\iexplore.exe","D38D16CF2BDD4513A254242F1BB5F095","0/67","https://www.virustotal.com/file/e298bd9b59e3e9e386bcfbc298dedc276c8e347fb1ef8f5ed2b6af355baa637f/analysis/1540801941/"
"2018-11-01 13:23:17","INTWEB01","DC1\ianj","C:\Program Files\Internet Explorer\IEShims.dll","C:\Program Files\Internet Explorer\iexplore.exe","53EA6F32C3C7545244932A8F603DF5AA","0/68","https://www.virustotal.com/file/4bb65b49dd56ed6c0cca37be6aa0e49b53573b3b20c5390938c95126a513efe7/analysis/1540589540/"
"2018-11-01 13:20:56","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\usbeDevicelist.exe","C:\Windows\System32\WerFault.exe","FF44E2CF50B0E88F9C9A38E8E3F756D0","0/67","https://www.virustotal.com/file/f33a7b1270867f378186902a1065a708c5b552f7eb1d99b679e90f38cc308983/analysis/1541579618/"
"2018-11-01 13:20:56","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\WakeOnLan.exe","C:\Windows\System32\WerFault.exe","7AAE71CD9E6670D2A442B3E2960FE60F","0/68","https://www.virustotal.com/file/dc9f994c8267f9084da1550144c10ee5b52a2a01f1bc955bd006ddd31fc6e045/analysis/1541435726/"
"2018-11-01 13:20:55","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\selfserviceportal.exe","C:\Windows\System32\WerFault.exe","378E08FBC47BD40C494BB432EADF9440","0/67","https://www.virustotal.com/file/51192c52c2390924bc05241e2081d9821597b8ecd9f47447e5320331d6ee6ed6/analysis/1541579618/"
"2018-11-01 13:20:55","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\UIControls.dll","C:\Windows\System32\WerFault.exe","CDEFB5866A7A4AA98D3B92CD65D9781B","0/67","https://www.virustotal.com/file/065febf85fb2d9a96ef702023950b56ed3bac44e9d13c7331e98fb459d1ff9b3/analysis/1540890258/"
"2018-11-01 13:20:55","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\rdsrunasuser.exe","C:\Windows\System32\WerFault.exe","1FD991311227600D65DB7BCEF355B96C","0/67","https://www.virustotal.com/file/79a80aa1226cf43eeff1172f58603ad2a7ce84f2e6324f78a0c033b11a8fa0c9/analysis/1541579618/"
"2018-11-01 13:20:55","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\selfservicedll.dll","C:\Windows\System32\WerFault.exe","167AB5D481516162B666C293A4BCA6EE","0/66","https://www.virustotal.com/file/e4e50007d41bed9297d27d6675696a4d359de6cd91e123b864866ade4dc26d15/analysis/1541495129/"
"2018-11-01 13:20:54","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\mdmregistrationhandler.exe","C:\Windows\System32\WerFault.exe","FBDB7709FBD95B4A9F38225315345A7D","0/68","https://www.virustotal.com/file/45f1b4da886d0454839def28d898d197189c4d1937ea8f22daece051913b7e69/analysis/1541590578/"
"2018-11-01 13:20:54","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\metroapps.exe","C:\Windows\System32\WerFault.exe","FF515F505C412FE495C3C82F612C1BE3","0/67","https://www.virustotal.com/file/a6e147bc5f010ea605aa2e26a50b629e8ecb9fa19569df5dfff696c91d52f1bd/analysis/1541888076/"
"2018-11-01 13:20:53","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\dc_cad.exe","C:\Windows\System32\WerFault.exe","6345C75C603FD578A8F9AFD5E7C4F7EB","0/67","https://www.virustotal.com/file/aac5357e43954da00610449fbc4675972b41e1dc3e96530d1c1f7a4f2b460eb8/analysis/1541579617/"
"2018-11-01 13:20:53","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\dcwolsettings.exe","C:\Windows\System32\WerFault.exe","8521ABBB2CC2CCA3C74735C0F90FCC80","0/67","https://www.virustotal.com/file/acd22c83e9ae4b0f4903d9ce9e00454b33c931169964865850447a6671197795/analysis/1541435659/"
"2018-11-01 13:20:52","P2PWORKFLOW02","DC1\ianj","C:\Program Files\DesktopCentral_Agent\bin\dcupload.exe","C:\Windows\System32\WerFault.exe","CC97A58C7C2FC77FBFBFAAFF2810B988","0/68","https://www.virustotal.com/file/6b477092e31f27f4cd5097d9374408a4a761a57442326c4058033ade075a898f/analysis/1541579618/"
