"EventTime","HostName","UserName","FileName","FileHash","CreatorFileName"
"2018-11-01 14:13:52","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\PPKLite.api","9CBA18151C21706A27184CAE5E55ADA6","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:51","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\DigSig.api","78E57F4A4D644BBEA60C62883D187A70","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:51","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\AcroForm.api","29C551D28A57616C034C8BCF44178C22","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:38","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\IA32.api","C4E13D1A7E195D8AC73C73158264B81E","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:14:08","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Updater.api","000352005D608C4A7CC9BA1952439FC1","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:59","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\SaveAsRTF.api","F0749B62327F1C221D2EB3A3E4256ECD","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\EScript.api","E47D150BD076BC1B3BE69F85A7993A98","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\weblink.api","1375E0FF68ED9DC03B02506191827617","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:37","SFS01","DC1\ianj","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Annots.api","30223C71281A119E1CF8E56F9A077106","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"
"2018-11-01 14:13:08","SFS01","DC1\ianj","D:\CryptoTool\CryptoTool.exe","0B0ED1242D8F12AAA40FA9F93E753463","C:\Windows\explorer.exe"
"2018-11-01 14:10:35","INTWEB01","DC1\ianj","C:\Program Files\7-Zip\7zG.exe","6029519FF0CBAEAC5C0C218AE21C47DD","C:\Windows\explorer.exe"
"2018-11-01 13:23:20","INTWEB01","DC1\ianj","C:\Windows\SysWOW64\jscript9.dll","13E1B2B1C0BE4F8BA53178C240BEE09A","C:\Program Files (x86)\Internet Explorer\iexplore.exe"
"2018-11-01 13:23:19","INTWEB01","DC1\ianj","C:\Program Files (x86)\Internet Explorer\ieproxy.dll","79DEFEB5B312107AF9355031DEA7565B","C:\Program Files (x86)\Internet Explorer\iexplore.exe"
